	13:59	茂木外務大臣、加藤厚生労働大臣、菅官房長官、外務省の秋葉剛男事務次官、山田重夫総合外交政策局長、厚生労働省の鈴木康裕医務技監と面会（～14:39）	
	14:40	杉山晋輔駐米大使と面会（～14:52）	
	14:53	西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、今井尚哉総理大臣補佐官、外務省の秋葉事務次官、山田総合外交政策局長、防衛省の高橋憲一事務次官と面会（～15:24）	
	15:37	米国議会日本研究グループ訪日議員団による表敬（～16:17）	
	16:18	西村経済再生担当大臣、厚生労働省の伊原和人政策統括官、経済産業省の新原浩朗経済産業政策局長と面会（～17:01）	
	17:02	北村国家安全保障局長、瀧澤裕昭内閣情報官、内閣衛星情報センターの宮川正所長と面会（～17:17）	
	17:22	「世界青年の船」参加者による表敬（～17:35）	
	18:07	新型コロナウイルス感染症対策本部に出席　感染拡大の防止には、発熱などのかぜの症状がある人が学校や会社などを休み、外出を控えることが大切だとして、休みやすい環境整備への協力を呼びかけ（～18:19）	
	18:26	報道各社のインタビュー	
	18:27	官邸発	
	18:39	東京・六本木のホテル「グランドハイアット東京」着　ホテル内の中国料理店「CHINAROOM」で赤羽国土交通大臣、公明党の太田昭宏前代表、斉藤鉄夫幹事長、石井啓一幹事長代行、高木陽介国会対策委員長らと会食	　　
	20:45	「グランドハイアット東京」発	
	21:03	私邸着	

	7:14	私邸発	
	7:26	官邸着	
	7:29	西村明宏官房副長官と面会（～8:19）	
	8:48	官邸発	
	8:49	国会着	
	8:51	衆議院第1委員室に入る	
	8:52	麻生副総理兼財務大臣、茂木外務大臣と話す（～8:58）	
	8:59	衆議院予算委員会が開会	
	12:01	衆議院予算委員会が休憩。衆議院第1委員室を出る	
	12:03	国会発	
	12:05	官邸着	
	12:54	官邸発	
	12:56	国会着	
	12:58	衆議院第1委員室に入る	
	13:00	衆議院予算委員会が再開	
	17:50	衆議院予算委員会が散会。衆議院第1委員室を出る	
	17:51	自民党総裁室に入る	
	17:56	自民党役員会に出席（～18:15）	
	18:16	自民党総裁室を出る	
	18:17	国会発	
	18:19	官邸着	
	18:25	"加藤厚生労働大臣、菅官房長官、西村官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、出入国在留管理庁の高嶋智光次長、外務省の秋葉剛男事務次官、山田重夫総合外交政策局長、厚生労働省の鈴木康裕医務技監と面会（～18:50）"	
