4/30	（以下、すべて日本時間）11:08:00	インドネシア・ジャカルタの「ホテル・インドネシア・ケンピンスキー・ジャカルタ」で元日本留学生による表敬（～11:29）
	12:33	官邸着
	13:35	秋葉剛男国家安全保障局長、瀧澤裕昭内閣情報官と面会(～13:55)
	13:56	瀧澤内閣情報官と面会(～14:03)
	14:04	自民党の井上信治環境・温暖化対策調査会長らから提言書受け取り(～14:23)
	14:30	自民党の片山さつき金融調査会長らから企業の情報開示に関する提言書受け取り(～14:45)
	14:50	官邸発
	14:51	公邸着　新型コロナウイルスのワクチン接種を呼びかけるビデオメッセージ収録
	15:23	公邸発
	15:24	官邸着
	15:26	自民党の茂木敏充幹事長、公明党の石井啓一幹事長と面会(～15:39)
	15:40	自民党の茂木幹事長と面会(～15:54)
	16:07	山際大志郎経済再生担当大臣、内閣府の田和宏事務次官、井上裕之内閣府審議官、林幸宏政策統括官と面会(～16:26)
	16:51	月例経済報告関係閣僚会議(～17:04)
	17:05	木原誠二官房副長官、滝崎成樹官房副長官補、外務省の山田重夫外務審議官、船越健裕アジア大洋州局長、経済産業省の広瀬直経済産業審議官と面会(～17:39)
	18:13	官邸発
	18:24	東京・霞ケ丘町の居酒屋「外苑うまや信濃町」着　JR7社幹部らの会合に出席し、あいさつ
	18:47	同所発
	18:56	官邸着
	19:16	ニュージーランドのアーダーン首相を出迎え
	19:17	儀仗隊による栄誉礼、儀仗(～19:25)
	19:26	アーダーン首相と首脳会談(～20:16)
	20:20	共同記者発表(～20:29)
	20:31	官邸発
	20:32	公邸着　岸田文雄首相主催の夕食会	〇
	21:53	アーダーン首相を見送り
4/20	9:34	公邸発
	9:35	官邸着
	9:36	秋葉剛男国家安全保障局長　高橋憲一官房副長官補　外務省の森健良事務次官　防衛省の島田和久事務次官（～10:19)
	10:54	四方敬之内閣広報官　森昌文総理大臣補佐官　迫井正深新型コロナウイルス等感染症対策推進室長　文部科学省の増子宏高等教育局長　経済産業省の片岡宏一郎総括審議官（～11:22)
