5/31	午前中	東京・富ヶ谷の私邸で過ごす　来客なし
	13:30	衆議院厚生労働委員会に出席
	14:35	衆議院厚生労働委員会を途中退席
	14:36	国会発
	14:38	官邸着
	14:50	自民党の稲田朋美幹事長代行と面会（～15:32）
	15:38	瀧澤裕昭内閣情報官と面会（～16:04）
	16:06	北村国家安全保障局長、今井総理大臣補佐官、外務省の秋葉剛男事務次官が入る
	16:33	今井総理大臣補佐官、外務省の秋葉事務次官が出る
	16:35	北村国家安全保障局長が出る
	16:36	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監が入る
	16:56	外務省の秋葉事務次官が出る
	17:11	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、厚生労働省の鈴木医務技監が出る
	17:18	北村国家安全保障局長が出る
	17:19	全世代型社会保障検討会議（～18:03）
	19:22	官邸発
	19:34	私邸着
5/21	9:42	東京・富ヶ谷の私邸発
	9:54	官邸着　記者団から黒川検事長辞任報道について問われ、「法務省で事実関係を確認しているがまだ報告受けてない」と答える
	9:58	麻生副総理兼財務大臣、財務省の岡本薫明事務次官、太田充主計局長と面会（～11:20）
	11:40	北村滋国家安全保障局長、今井尚哉総理大臣補佐官、金杉憲治外務審議官と面会（～11:57）
	15:31	自民党の岸田政務調査会長らから、第２次補正予算についての提言書を受け取る（～15:59）
	16:00	自民党の岸田政務調査会長と面会（～16:11）
	17:03	ＮＳＣ＝国家安全保障会議の４大臣会合（～17:21）
	17:22	森法務大臣と面会　黒川検事長が緊急事態宣言中に賭けマージャンをしたという調査結果と、検事長から辞表が提出されたことの報告を受ける（～17:34）
	17:35	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～17:48）
	18:05	官邸内で記者団の取材に応じ、緊急事態宣言を継続する首都圏と北海道については感染者の減少傾向続く場合は今月25日にも解除が可能だと認識示す　また、黒川検事長の定年延長について「総理大臣として責任はある」と述べる（～18:12）
	18:13	新型コロナウイルス感染症対策本部（～18:24）
	18:25	茂木外務大臣と面会（～18:34）
	19:23	トルコに日本の商社が現地企業と建設した病院の開院式典にテレビ会議方式で参加（～19:52）
	19:56	官邸発
	20:09	私邸着　そのまま来客なし
5/20	9:41	東京・富ヶ谷の私邸発
5/20	9:55	官邸着
5/20	14:30	加藤厚生労働大臣と面会（～15:06）
5/20	15:07	北村滋国家安全保障局長、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、自衛隊の山崎幸二統合幕僚長が入る
