	15:58	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の山崎重孝事務次官、外務省の秋葉剛男事務次官、文部科学省の藤原誠事務次官、厚生労働省の鈴木俊彦事務次官、鈴木康裕医務技監と面会(～16:35)	
	16:55	西村経済再生担当大臣、内閣府の山崎事務次官、田和宏審議官、多田明弘政策統括官、経済産業省の新原浩朗経済産業政策局長と面会(～17:02)	
	17:04	新型コロナウイルス感染症の実体経済への影響に関する集中ヒアリング(～18:35)	
	18:40	官邸発	
	18:55	私邸着	

3/20	9:20	東京・富ヶ谷の私邸発	
	9:34	皇居着　春季皇霊祭・神殿祭の儀に出席	
	10:45	皇居発	
	11:02	私邸着	
	14:11	私邸発	
	14:24	官邸着	
	15:23	加藤厚生労働大臣、西村経済再生担当大臣、菅官房長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、文部科学省の藤原誠事務次官、厚生労働省の鈴木俊彦事務次官、鈴木康裕医務技監と面会（～15:55）	
	16:26	新型コロナウイルス感染症対策本部に出席　自粛を要請している大規模イベントの主催者側に対し、引き続き慎重な対応を求める考えを示す（～16:40）	
	16:43	西村経済再生担当大臣、内閣府の山崎重孝事務次官、田和宏審議官、多田明弘政策統括官、経済産業省の新原浩朗経済産業政策局長と面会（～17:02）	
	17:04	新型コロナウイルス感染症の実体経済への影響に関する集中ヒアリング(～18:19)	
	18:21	西村経済再生担当大臣と面会（～18:27）	
	18:29	官邸発	
	18:46	私邸着	
	8:05	東京・富ヶ谷の私邸発	
	8:16	官邸着	
	8:27	閣議(～8:42)	
	9:01	岡田直樹官房副長官と面会(～9:28)	
	9:41	西村経済再生担当大臣、内閣府の山崎重孝事務次官、田和宏内閣府審議官、多田明弘政策統括官、経済産業省の新原浩朗経済産業政策局長と面会	
	10:20	内閣府の山崎事務次官、田和内閣府審議官、多田政策統括官、経済産業省の新原経済産業政策局長が出る	
	10:22	西村経済再生担当大臣が出る	
	10:23	農林水産省の末松広行事務次官、枝元真徹官房長と面会(～10:41)	
	10:42	北村滋国家安全保障局長、林肇官房副長官補、前田哲官房副長官補、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、山崎幸二統合幕僚長と面会(～10:52)	
	10:53	北村国家安全保障局長と面会(～10:57)	
	10:58	北村国家安全保障局長、林官房副長官補、外務省の秋葉剛男事務次官、森健良外務審議官、金杉憲治外務審議官が入る	
	11:19	外務省の金杉外務審議官が出る	
	11:36	全員出る	
	11:37	瀧澤裕昭内閣情報官と面会(～11:59)	
	14:52	自民党の下村博文選挙対策委員長と面会(～15:53)	
	15:57	官邸発	
	15:58	国会着	
	15:59	参議院第41委員会室に入る	
	16:01	参議院総務委員会に出席	
	17:01	参議院総務委員会が散開。参議院第41委員会室を出る	
	17:03	国会発	
	17:05	官邸着	
