3/20	18:51	官邸発	
3/20	19:00	東京・丸の内のレストラン「センチュリーコート丸の内」着 山口県内の商工会議所の会頭らや、自民党の河村建夫衆議院議員、林芳正参議院議員らと会食	
3/20	20:54	「センチュリーコート丸の内」発	
3/20	21:15	私邸着
3/19	7:56	公邸発	
3/19	7:57	官邸着	
3/19	8:03	児童虐待防止対策に関する関係閣僚会議　一連の対策を切れ目なく実行し、あらゆる手段を講じて、虐待の根絶に取り組むよう指示（～8:14）	
3/19	8:18	障害者雇用に関する関係閣僚会議（～8:25）	
3/19	8:28	閣議（～8:39）	
3/19	9:47	天皇陛下の御退位及び皇太子殿下の御即位に伴う式典委員会に出席　ことし１０月２２日に行う、新天皇が即位を内外に宣言する「即位礼正殿の儀」に、日本が国家として承認している195か国の元首などを招くことを決定（～10:15）	
3/19	10:31	沖縄県の玉城知事と面会（～10:54）	
3/19	10:55	インドのハリワンシュ上院副議長と面会（～11:21）	
3/19	11:22	外務省の冨田浩司金融・世界経済に関する首脳会合担当大使、鈴木哲総合外交政策局長と面会（～11:46）	
3/19	11:48	群馬県太田市の特産品、「薮塚こだま西瓜」の生産者やＪＡの関係者と面会　すいかを試食し、生産者を激励（～11:59）	
3/19	12:49	中村芳夫駐バチカン大使と面会（～13:02）	
3/19	14:53	谷内正太郎国家安全保障局長、外務省の秋葉剛男事務次官、森健良外務審議官、正木靖欧州局長と面会（～15:08）	
3/19	15:09	秋葉事務次官と面会（～15:33）	
3/19	15:35	自衛隊制服組のトップをこれまでで最も長い４年５か月にわたって務め、今月いっぱいで交代する河野克俊統合幕僚長や、後任となる山崎幸二陸上幕僚長ら、自衛隊幹部からのあいさつ（～15:51）	
3/19	15:52	茂木経済再生担当大臣、経済産業省の新原浩朗経済産業政策局長と面会（～16:20）	
3/19	16:36	ラオスのパーニー国民議会議長による表敬を受ける（～16:52）	
3/19	16:55	北村滋内閣情報官、防衛省の槌道明宏防衛政策局長、大塚海夫情報本部長と面会（～17:02）	
3/19	17:03	北村内閣情報官と面会（～17:24）	
3/19	17:25	自民党の塩崎恭久衆議院議員と面会（～17:39）	
3/19	17:40	デンマークの海運大手「APモラー・マースク」のソレン・スコウCEO=最高経営責任者と面会（～17:55）	
3/19	17:57	外務省の鈴木総合外交政策局長、自衛隊の河野統合幕僚長と面会（～18:12）	
3/19	18:14	鈴木宗男元衆議院議員と面会（～18:39）	
3/19	18:44	官邸発	
3/19	18:49	東京・千代田区の日本料理店「下関春帆楼　東京店」着　内閣官房参与を務めた京都大学大学院の藤井聡教授と会食　野上官房副長官、自民党の西田昌司参議院議員と同席	夕食
3/19	21:11	日本料理店発	
3/19	21:28	東京・富ヶ谷の私邸着	

3/18	7:10	東京・富ヶ谷の私邸発	
3/18	7:22	官邸着	
3/18	7:27	野上官房副長官と打ち合わせ（～8:46）	
3/18	8:49	官邸発	
3/18	8:51	国会着	
3/18	8:53	参議院第1委員会室に入る	
3/18	8:54	麻生副総理兼財務大臣、河野外務大臣、岩屋防衛大臣と会話（～8:55）	
3/18	8:55	参議院予算委員会が開会	
3/18	9:24	麻生副総理兼財務大臣と会話（～9:27）	
3/18	11:54	参議院予算委員会が休憩	
3/18	11:55	参議院第1委員会室を出る	
3/18	11:56	国会発	
3/18	11:59	官邸着	
3/18	12:54	官邸発	
3/18	12:56	国会着	
3/18	12:58	参議院第1委員会室に入る	
3/18	13:00	参議院予算委員会が再開	
3/18	17:13	参議院予算委員会が散会	
3/18	17:14	参議院第1委員会室を出る	
3/18	17:16	国会内の自民党幹事長会議室に入る 神奈川県知事選挙の立候補予定者に推薦証を渡し、写真撮影を行う	
3/18	17:18	自民党幹事長会議室を出る	
3/18	17:19	国会内の自民党総裁室に入る	
3/18	17:21	自民党役員会に出席（～17:34）	
3/18	17:35	自民党総裁室を出る	
3/18	17:36	国会発	
3/18	17:38	官邸着	
3/18	17:39	和泉洋人総理大臣補佐官、兼原信克官房副長官補、外務省の鈴木哲総合外交政策局長、財務省の武内良樹国際局長、経済産業省の石川正樹貿易経済協力局長と面会（～17:59）	
3/18	18:06	Ｇ２０=主要２０か国の労働組合でつくる「Ｌ２０」メンバーの表敬（～18:33）	
3/18	18:36	官邸発	
3/18	18:37	公邸着 そのまま宿泊
3/17	9:02	東京・富ヶ谷の私邸発	
3/17	9:14	官邸着	
3/17	9:20	陸上自衛隊のヘリコプターで官邸発	
3/17	9:38	神奈川県横須賀市の防衛大学校着	
3/17	9:45	本館応接室で岩屋防衛大臣、防衛大学校の国分良成校長と面会（～9:54）	
3/17	10:00	記念講堂で防衛大学校卒業式に出席し、訓示を述べる（～12:01）	
